id_estacao,latitude,longitude,local_estacao
1240935,38.757579,-9.24244,Amadora
1240971,32.63655,-16.935592,"Madeira, Funchal, Lido"
5210758,38.7627,-8.7825,Alcochete / Campo Tiro
6210817,39.21536,-8.05417,Ponte de Sôr / Aeródromo
6210872,37.129946,-8.06523593,Loulé (CML)
6210879,37.11670461,-8.52946314,Portimão (Praia da Rocha)
6212121,41.70225278,-8.31808611,Terras de Bouro/Barral (CIM)
6212122,41.66796389,-8.37977778,Amares Caldelas (CIM)
6212123,41.64686111,-8.43398056,Vila Verde (CIM)
6212124,41.53568333,-8.42514722,Braga (CIM)
6212125,41.529375,-8.62705278,Barcelos (CIM)
6212126,41.52645556,-8.77984444,Esposende (CIM)
6212410,41.3882,-8.52185,Vila Nova Famalicão (CIM)
6213011,40.81203611,-7.53371944,Aguiar da Beira (CIM)
6213012,40.46718056,-7.92626389,Carregal do Sal (CIM)
6213013,40.98086111,-7.88318889,Castro Daire / Mézio (CIM)
6213014,40.61096111,-7.60838889,Mangualde / Chãs de Tavares  (CIM)
6213015,40.56577222,-7.83693333,Nelas / Vilar Seco (CIM)
6213016,40.716925,-8.20133889,Oliveira de Frades (CIM)
6213017,40.65706389,-7.69655278,Penalva do Castelo (CIM)
6213018,40.83031944,-8.11568056,São Pedro do Sul (CIM)
6213019,40.39644722,-8.13996389,Santa Comba Dão (CIM)
6213020,40.76072778,-7.72019722,Satão (CIM)
6213021,40.54575278,-8.20829722,"Tondela, Caramulinho (CIM)"
6213022,40.85595,-7.72716389,Vila Nova do Paiva (CIM)
6213023,40.64405556,-8.05106389,Vouzela (CIM)
6213024,40.67424167,-8.13344167,Viseu / Torredeita (CIM)
6213611,40.274578,-7.974399,Arganil / Aeródromo (CIM)
6213612,40.341894,-8.577613,Cantanhede / Fonte Dom Pedro (CIM)
6213613,40.330787,-8.374887,Coimbra / Mata de São Pedro (CIM)
6213614,40.171642,-8.103238,Góis / Quinta da Ribeira (CIM)
6213615,40.373343,-8.4388429,Mealhada / Quinta do Vale (CIM)
6213616,40.426239,-8.232142,Mortágua / Aeródromo (CIM)
6213617,40.280921,-8.198685,Penacova / Hombres (CIM)
6213618,40.028817,-8.334616,Penela / Serra do Espinhal (CIM)
6213619,40.211411,-8.241995,Vila Nova de Poiares (CIM)
6213620,40.413306,-7.867972,Oliveira do Hospital (CIM)
6213621,40.02927,-8.504909,Soure (CIM)
6214521,39.57554889,-7.87494583,Mação/Envendos(CIM)
6214522,39.55107889,-7.98783444,Mação (CIM)
6214523,39.69363889,-8.01596667,Mação/Cardigos (CIM)
6215360,38.7239536,-9.2939255,Oeiras / Vila Fria (CMO)
7240919,38.7239,-9.1649,"Lisboa, Amoreiras (LFCL)"
11217160,36.9542,-25.0917,Santa Maria / Praia Formosa (DROTRH)
11217165,36.9412,-25.0176,Santa Maria / Maia (DROTRH)
11217217,37.8049,-25.5618,São Miguel / Santana (DROTRH)
11217225,37.8679,-25.772,São Miguel / Sete Cidades (DROTRH)
11217255,37.7619,-25.3291,São Miguel / Lagoa das Furnas (DROTRH)
11217370,38.754,-27.3245,Terceira / Ribeira das Nove (DROTRH)
11217372,38.7002,-27.1031,Terceira / Serra do Cume (DROTRH)
11217430,39.0672,-28.0038,Graciosa / Serra das Fontes (DROTRH)
11217510,38.6435,-28.0591,São Jorge / Pico do Areeiro (DROTRH)
11217625,38.489,-28.3534,Pico / Cabeço do Teicho (DROTRH)
11217645,38.4338,-28.1141,Pico / Cabecinho (DROTRH)
11217710,38.587,-28.6992,Faial / Alto do Cabouco (DROTRH)
11217730,38.5843,-28.7576,Faial / Cabeço Verde (DROTRH)
