month,year,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
01,2019,558,705,Évora,2.0,0.2,3.4,1.56
01,2019,558,705,Évora,3.0,0.4,4.8,1.92
01,2019,558,705,Évora,4.0,0.6,3.4,1.68
01,2019,558,705,Évora,5.0,0.6,0.9,0.7
01,2019,558,705,Évora,6.0,0.7,8.8,4.11
01,2019,558,705,Évora,7.0,0.3,8.2,4.11
01,2019,558,705,Évora,8.0,0.3,11.0,5.43
01,2019,848,709,Portel,1.0,0.0,4.7,1.34
01,2019,848,709,Portel,2.0,0.1,5.4,1.43
01,2019,848,709,Portel,3.0,0.3,2.8,0.9
01,2019,848,709,Portel,4.0,0.4,2.5,0.94
01,2019,848,709,Portel,5.0,0.5,2.0,1.18
01,2019,848,709,Portel,6.0,0.8,7.2,3.35
01,2019,848,709,Portel,7.0,0.3,6.4,2.59
01,2019,848,709,Portel,8.0,0.2,6.0,3.38
01,2019,840,711,Reguengos de Monsaraz,1.0,0.1,2.7,1.47
01,2019,840,711,Reguengos de Monsaraz,2.0,0.1,2.5,0.94
01,2019,840,711,Reguengos de Monsaraz,3.0,0.3,3.8,1.23
01,2019,840,711,Reguengos de Monsaraz,4.0,0.2,4.8,1.71
01,2019,840,711,Reguengos de Monsaraz,5.0,0.2,5.1,2.28
01,2019,840,711,Reguengos de Monsaraz,6.0,0.2,8.8,4.07
01,2019,840,711,Reguengos de Monsaraz,7.0,0.2,8.0,3.08
01,2019,840,711,Reguengos de Monsaraz,8.0,0.1,4.0,2.08
01,2019,847,713,Viana do Alentejo,1.0,0.8,9.9,3.44
01,2019,847,713,Viana do Alentejo,2.0,0.4,4.8,2.5
01,2019,847,713,Viana do Alentejo,3.0,0.6,4.8,2.55
01,2019,847,713,Viana do Alentejo,4.0,0.6,4.0,1.63
01,2019,847,713,Viana do Alentejo,5.0,0.7,4.1,2.1
01,2019,847,713,Viana do Alentejo,6.0,0.5,7.0,3.53
01,2019,847,713,Viana do Alentejo,7.0,0.9,7.2,3.6
01,2019,847,713,Viana do Alentejo,8.0,0.6,9.7,4.08
01,2019,865,802,Alcoutim,1.0,0.1,3.6,1.45
01,2019,865,802,Alcoutim,2.0,0.1,3.0,1.38
01,2019,865,802,Alcoutim,3.0,0.3,3.7,1.66
01,2019,865,802,Alcoutim,4.0,0.9,4.2,2.21
01,2019,865,802,Alcoutim,5.0,0.7,2.1,1.34
01,2019,865,802,Alcoutim,6.0,0.7,6.3,4.12
01,2019,865,802,Alcoutim,7.0,0.3,6.4,2.27
01,2019,865,802,Alcoutim,8.0,0.2,10.3,3.61
01,2019,554,805,Faro,1.0,0.1,6.8,1.55
01,2019,554,805,Faro,2.0,0.5,7.8,2.99
01,2019,554,805,Faro,3.0,1.0,6.7,4.52
01,2019,554,805,Faro,7.0,1.4,11.2,5.58
01,2019,554,805,Faro,8.0,0.4,8.7,3.67
01,2019,790,809,Monchique,1.0,1.1,15.4,6.58
01,2019,790,809,Monchique,2.0,1.0,9.6,5.08
01,2019,790,809,Monchique,3.0,1.2,10.2,5.49
01,2019,790,809,Monchique,4.0,1.0,11.8,5.67
01,2019,790,809,Monchique,5.0,1.5,11.3,4.0
01,2019,790,809,Monchique,6.0,0.9,2.5,1.81
01,2019,790,809,Monchique,7.0,0.3,2.8,1.78
01,2019,790,809,Monchique,8.0,0.0,16.7,6.06
01,2019,881,810,Olhão,1.0,0.0,5.7,1.53
01,2019,881,810,Olhão,2.0,0.0,5.1,1.94
01,2019,881,810,Olhão,3.0,0.0,5.0,1.46
01,2019,881,810,Olhão,4.0,0.3,2.7,1.57
01,2019,881,810,Olhão,5.0,0.0,2.4,0.76
01,2019,881,810,Olhão,6.0,0.0,6.1,1.63
01,2019,881,810,Olhão,7.0,0.0,6.4,2.36
01,2019,881,810,Olhão,8.0,0.0,4.5,1.79
01,2019,878,811,Portimão,1.0,2.9,6.7,4.67
01,2019,878,811,Portimão,2.0,0.4,3.5,1.43
01,2019,878,811,Portimão,3.0,0.3,4.1,0.93
01,2019,878,811,Portimão,4.0,0.3,8.8,1.04
01,2019,878,811,Portimão,5.0,0.4,4.6,1.63
01,2019,878,811,Portimão,6.0,0.4,4.8,1.93
01,2019,878,811,Portimão,7.0,0.3,7.9,3.58
01,2019,878,811,Portimão,8.0,1.4,7.4,4.2
01,2019,671,902,Almeida,1.0,0.3,7.0,2.11
01,2019,671,902,Almeida,2.0,0.1,5.4,2.24
01,2019,671,902,Almeida,3.0,0.3,6.4,2.08
01,2019,671,902,Almeida,4.0,0.6,1.3,0.96
01,2019,671,902,Almeida,5.0,0.7,6.7,3.09
01,2019,671,902,Almeida,6.0,0.3,12.1,4.45
01,2019,671,902,Almeida,7.0,0.3,13.1,4.13
01,2019,671,902,Almeida,8.0,0.1,10.9,4.16
01,2019,683,907,Guarda,1.0,0.3,3.9,2.23
01,2019,683,907,Guarda,2.0,0.2,5.8,2.66
01,2019,683,907,Guarda,3.0,0.3,9.1,4.15
01,2019,683,907,Guarda,4.0,0.1,2.7,1.31
01,2019,683,907,Guarda,5.0,0.5,5.5,2.74
01,2019,683,907,Guarda,6.0,0.1,6.0,3.47
01,2019,683,907,Guarda,7.0,0.0,14.3,6.24
01,2019,683,907,Guarda,8.0,0.1,17.5,5.79
01,2019,568,908,Manteigas,1.0,0.8,4.2,2.12
01,2019,568,908,Manteigas,2.0,0.8,3.7,1.99
01,2019,568,908,Manteigas,3.0,0.6,6.5,2.49
01,2019,568,908,Manteigas,4.0,0.7,6.2,2.85
01,2019,568,908,Manteigas,5.0,0.7,2.2,1.33
01,2019,568,908,Manteigas,6.0,1.0,9.6,3.46
01,2019,568,908,Manteigas,7.0,0.5,19.6,8.55
01,2019,568,908,Manteigas,8.0,0.8,19.5,9.9
01,2019,800,911,Sabugal,1.0,0.0,9.0,3.45
01,2019,800,911,Sabugal,2.0,0.2,10.1,3.49
01,2019,800,911,Sabugal,3.0,0.6,3.4,1.66
01,2019,800,911,Sabugal,4.0,0.4,2.4,1.54
01,2019,800,911,Sabugal,5.0,1.6,5.3,3.65
