month,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
01,1210874,801,Albufeira,6.0,0.6,7.1,3.44
01,1210874,801,Albufeira,7.0,0.3,8.7,3.43
01,1210874,801,Albufeira,8.0,0.9,9.0,4.04
01,1210865,802,Alcoutim,1.0,0.1,7.5,2.24
01,1210865,802,Alcoutim,2.0,0.1,4.8,1.53
01,1210865,802,Alcoutim,3.0,0.3,7.1,2.65
01,1210865,802,Alcoutim,4.0,0.2,6.4,2.38
01,1210865,802,Alcoutim,5.0,0.0,6.1,2.23
01,1210865,802,Alcoutim,6.0,0.0,7.2,2.64
01,1210865,802,Alcoutim,7.0,0.0,8.8,2.32
01,865,802,Alcoutim,8.0,0.0,10.3,3.19
01,1210789,803,Aljezur,1.0,0.0,4.0,0.93
01,1210789,803,Aljezur,2.0,0.0,4.8,1.39
01,1210789,803,Aljezur,3.0,0.1,5.5,0.86
01,1210789,803,Aljezur,4.0,0.0,5.8,1.29
01,1210789,803,Aljezur,5.0,0.0,4.1,1.29
01,1210789,803,Aljezur,6.0,0.2,4.2,1.86
01,1210789,803,Aljezur,7.0,0.1,2.9,1.04
01,1210789,803,Aljezur,8.0,0.0,4.0,1.07
01,1210867,804,Castro Marim,1.0,0.1,9.7,3.3
01,1210867,804,Castro Marim,2.0,0.3,10.4,2.76
01,1210867,804,Castro Marim,3.0,0.5,8.5,3.74
01,1210867,804,Castro Marim,4.0,0.7,6.9,2.78
01,1210867,804,Castro Marim,5.0,0.1,9.5,2.8
01,1210867,804,Castro Marim,6.0,0.5,9.8,3.82
01,1210867,804,Castro Marim,7.0,0.1,10.5,3.22
01,1210867,804,Castro Marim,8.0,0.1,10.1,4.07
01,1200554,805,Faro,1.0,0.0,7.6,2.09
01,1200554,805,Faro,2.0,0.2,9.0,3.47
01,1200554,805,Faro,3.0,0.3,10.5,5.22
01,1200554,805,Faro,4.0,0.2,6.4,2.89
01,1200554,805,Faro,5.0,0.1,7.4,3.04
01,1200554,805,Faro,6.0,0.4,12.7,4.55
01,1200554,805,Faro,7.0,0.2,11.8,5.09
01,1200554,805,Faro,8.0,0.2,9.3,3.13
01,6210872,808,Loulé,1.0,0.0,3.9,1.69
01,6210872,808,Loulé,2.0,0.1,2.2,1.08
01,6210872,808,Loulé,3.0,0.1,2.3,0.92
01,6210872,808,Loulé,4.0,0.1,1.7,0.63
01,6210872,808,Loulé,5.0,0.1,1.4,0.48
01,6210872,808,Loulé,6.0,0.2,2.2,1.2
01,6210872,808,Loulé,7.0,0.1,3.0,1.05
01,6210872,808,Loulé,8.0,0.1,3.6,1.38
01,1210790,809,Monchique,1.0,0.3,22.0,9.77
01,1210790,809,Monchique,2.0,0.3,16.7,6.99
01,1210790,809,Monchique,3.0,0.3,12.7,5.85
01,1210790,809,Monchique,4.0,0.3,27.2,6.32
01,1210790,809,Monchique,5.0,0.3,13.0,5.81
01,1210790,809,Monchique,6.0,0.9,10.8,5.16
01,1210790,809,Monchique,7.0,0.3,14.1,6.0
