year,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
2018,835,1207,Elvas,1.0,0.0,2.7,0.82
2018,835,1207,Elvas,2.0,0.0,3.6,1.35
2018,835,1207,Elvas,3.0,0.0,4.5,1.6
2018,835,1207,Elvas,4.0,0.0,1.3,0.29
2018,835,1207,Elvas,5.0,0.0,3.7,1.73
2018,835,1207,Elvas,6.0,0.0,3.8,0.95
2018,835,1207,Elvas,7.0,0.0,5.2,1.29
2018,835,1207,Elvas,8.0,0.0,2.4,1.02
2018,571,1214,Portalegre,1.0,0.6,4.4,1.73
2018,571,1214,Portalegre,2.0,0.8,7.2,3.41
2018,571,1214,Portalegre,3.0,0.8,4.9,2.45
2018,571,1214,Portalegre,4.0,0.7,5.9,2.76
2018,571,1214,Portalegre,5.0,0.4,3.4,1.29
2018,571,1214,Portalegre,6.0,0.2,1.9,1.04
2018,571,1214,Portalegre,7.0,0.4,3.0,1.76
2018,571,1214,Portalegre,8.0,0.4,7.3,2.77
2018,545,1308,Matosinhos,1.0,0.8,2.4,1.73
2018,545,1308,Matosinhos,2.0,1.0,5.0,2.9
2018,545,1308,Matosinhos,3.0,1.2,5.8,3.58
2018,545,1308,Matosinhos,4.0,1.2,4.6,3.13
2018,545,1308,Matosinhos,5.0,1.1,11.9,5.02
2018,545,1308,Matosinhos,6.0,0.2,4.4,2.39
2018,545,1308,Matosinhos,7.0,0.6,4.7,2.43
2018,545,1308,Matosinhos,8.0,1.0,3.4,1.93
2018,657,1311,Penafiel,1.0,0.4,1.9,1.22
2018,657,1311,Penafiel,2.0,0.4,3.2,1.72
2018,657,1311,Penafiel,3.0,0.4,6.1,3.1
2018,657,1311,Penafiel,4.0,0.5,7.4,3.43
2018,657,1311,Penafiel,5.0,0.4,3.3,1.45
2018,657,1311,Penafiel,6.0,0.7,3.5,1.5
2018,657,1311,Penafiel,7.0,0.4,1.3,0.93
2018,657,1311,Penafiel,8.0,0.5,0.8,0.68
2018,812,1401,Abrantes,1.0,0.2,1.2,0.68
2018,812,1401,Abrantes,2.0,0.1,5.3,2.13
2018,812,1401,Abrantes,3.0,0.1,5.2,2.3
2018,812,1401,Abrantes,4.0,0.1,2.8,0.87
2018,812,1401,Abrantes,5.0,0.0,3.5,0.43
2018,812,1401,Abrantes,6.0,0.0,3.6,0.65
2018,812,1401,Abrantes,7.0,0.0,4.5,1.26
2018,812,1401,Abrantes,8.0,0.0,5.1,1.16
2018,744,1409,Coruche,1.0,0.0,2.6,0.8
2018,744,1409,Coruche,2.0,0.0,4.0,0.88
2018,744,1409,Coruche,3.0,0.0,5.6,1.25
2018,744,1409,Coruche,4.0,0.0,1.5,0.29
2018,744,1409,Coruche,5.0,0.0,6.0,2.09
2018,744,1409,Coruche,6.0,0.0,6.3,1.08
2018,744,1409,Coruche,7.0,0.0,3.6,1.0
2018,744,1409,Coruche,8.0,0.0,4.0,1.8
2018,729,1414,Rio Maior,1.0,0.3,3.6,1.05
2018,729,1414,Rio Maior,2.0,0.8,2.3,1.41
2018,729,1414,Rio Maior,3.0,0.7,3.0,1.97
2018,729,1414,Rio Maior,4.0,0.4,3.3,1.62
2018,729,1414,Rio Maior,5.0,0.3,1.8,0.77
2018,729,1414,Rio Maior,6.0,0.2,1.4,0.49
2018,729,1414,Rio Maior,7.0,0.2,1.6,0.5
2018,729,1414,Rio Maior,8.0,0.2,4.5,1.2
2018,734,1416,Santarém,1.0,0.0,3.4,1.6
2018,734,1416,Santarém,2.0,0.1,4.2,1.91
2018,734,1416,Santarém,3.0,0.3,2.9,1.41
2018,734,1416,Santarém,4.0,0.4,1.7,0.93
2018,734,1416,Santarém,5.0,0.8,6.0,1.72
2018,734,1416,Santarém,6.0,0.8,6.4,1.92
2018,734,1416,Santarém,7.0,0.3,3.3,1.11
2018,734,1416,Santarém,8.0,0.1,3.4,0.74
2018,724,1418,Tomar,1.0,0.1,2.4,0.66
2018,724,1418,Tomar,2.0,0.0,2.0,0.47
2018,724,1418,Tomar,3.0,0.0,3.8,1.04
2018,724,1418,Tomar,4.0,0.0,3.6,1.32
2018,724,1418,Tomar,5.0,0.1,3.2,0.96
2018,724,1418,Tomar,6.0,0.1,3.5,0.81
2018,724,1418,Tomar,7.0,0.1,5.0,0.88
2018,724,1418,Tomar,8.0,0.0,4.7,1.33
2018,776,1501,Alcácer do Sal,1.0,0.0,1.6,0.43
2018,776,1501,Alcácer do Sal,2.0,0.1,6.1,1.52
2018,776,1501,Alcácer do Sal,3.0,0.2,6.3,1.34
2018,776,1501,Alcácer do Sal,4.0,0.4,4.3,1.42
2018,776,1501,Alcácer do Sal,5.0,0.7,5.8,1.84
2018,776,1501,Alcácer do Sal,6.0,0.5,4.2,1.07
